index,playerID,teamID,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
26323,Spencer Steer,CIN,28,95,108,20,13,5,0,2,12,8,11,0,26,2,0,0,2,0,1,0.211
26368,J.J. Bleday,MIA,65,204,238,34,17,10,2,5,21,16,30,0,67,2,2,0,5,4,1,0.167
26396,Josh Smith,TEX,73,213,253,42,35,5,0,2,23,16,28,0,50,7,3,2,1,4,3,0.197
26466,Matt Wallner,MIN,18,57,65,13,8,3,0,2,4,10,6,1,25,2,0,0,0,1,0,0.228
27459,Yoshi Tsutsugo,PIT,50,170,193,29,23,4,0,2,11,19,19,0,50,0,4,0,3,0,0,0.171
27465,Spencer Torkelson,DET,110,360,404,73,48,16,1,8,38,28,37,0,99,5,2,0,12,0,1,0.203
27506,Ha-seong Kim,SDP,150,517,582,130,87,29,3,11,58,59,51,0,100,7,4,3,9,12,2,0.251
27555,Garrett Mitchell,MIL,28,61,68,19,14,3,0,2,9,9,6,0,28,0,0,1,0,8,0,0.311
27615,Alec Burleson,STL,16,48,53,9,7,1,0,1,4,3,5,0,9,0,0,0,1,1,0,0.188
27676,Vinnie Pasquantino,KCR,72,258,298,76,56,10,0,10,25,26,35,1,34,3,2,0,5,1,0,0.295
27684,Michael Massey,KCR,52,173,194,42,28,9,1,4,16,17,9,0,46,8,2,2,1,3,0,0.243
30116,Seiya Suzuki,CHC,111,397,446,104,66,22,2,14,54,46,42,3,110,4,3,0,8,9,5,0.262
